model,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n
EnergyPhasePINN,0.957,0.0403,7.0743,2.3328,9.052,3.0606,90
PhasePINN,0.9634,0.0295,6.5804,2.2388,8.4652,2.5246,90
GPR,0.8339,0.2963,11.9127,11.2049,14.5771,12.3009,54
