,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n
EnergyPhasePINN (with residual),0.957,0.0403,7.0743,2.3328,9.052,3.0606,90
EnergyPhasePINN (no residual),0.9604,0.0398,6.7151,2.4731,8.5847,2.7927,54
