,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,n
Original filter (depth-sorted),0.6859,0.1016,14.5556,4.4657,26.1217,6.398,54
Corrected filter (time-ordered),0.957,0.0403,7.0743,2.3328,9.052,3.0606,90
