R2,MAE,RMSE,protocol,fold,seed,n_test,best_epoch,key,exp,model,n_train,PICP_1sigma,PICP_2sigma,sharpness_mean_sigma,ECE,MCE,NLL
0.9658222198486328,7.580783367156982,9.112104108502036,loco,6,3,465,36.0,E3|EnergyPhasePINN|loco|6|3,E3,EnergyPhasePINN,,,,,,,
0.9769878387451172,5.796979904174805,7.476968879776777,loco,6,4,465,87.0,E3|EnergyPhasePINN|loco|6|4,E3,EnergyPhasePINN,,,,,,,
0.984658420085907,4.788699150085449,6.082509790703497,loco,7,0,373,192.0,E3|EnergyPhasePINN|loco|7|0,E3,EnergyPhasePINN,,,,,,,
0.9861463904380798,4.425212860107422,5.780018608300901,loco,7,1,373,229.0,E3|EnergyPhasePINN|loco|7|1,E3,EnergyPhasePINN,,,,,,,
0.957612931728363,8.192930221557617,10.110316048501447,loco,7,2,373,39.0,E3|EnergyPhasePINN|loco|7|2,E3,EnergyPhasePINN,,,,,,,
0.9441947340965271,9.641790390014648,11.600742421562739,loco,7,3,373,36.0,E3|EnergyPhasePINN|loco|7|3,E3,EnergyPhasePINN,,,,,,,
0.9846856594085693,4.813512325286865,6.07711540408124,loco,7,4,373,87.0,E3|EnergyPhasePINN|loco|7|4,E3,EnergyPhasePINN,,,,,,,
0.9843247532844543,4.74184513092041,6.355623305492418,loco,8,0,318,106.0,E3|EnergyPhasePINN|loco|8|0,E3,EnergyPhasePINN,,,,,,,
0.9805580377578735,5.083059310913086,7.07816515104851,loco,8,1,318,368.0,E3|EnergyPhasePINN|loco|8|1,E3,EnergyPhasePINN,,,,,,,
0.9665675759315491,7.51664924621582,9.281852933777682,loco,8,2,318,36.0,E3|EnergyPhasePINN|loco|8|2,E3,EnergyPhasePINN,,,,,,,
0.9425023198127747,10.261200904846191,12.172390222969126,loco,8,3,318,35.0,E3|EnergyPhasePINN|loco|8|3,E3,EnergyPhasePINN,,,,,,,
0.9818883538246155,5.078336238861084,6.831711305222884,loco,8,4,318,111.0,E3|EnergyPhasePINN|loco|8|4,E3,EnergyPhasePINN,,,,,,,
0.9845458269119263,4.7594099044799805,6.294754920897251,loco,9,0,284,105.0,E3|EnergyPhasePINN|loco|9|0,E3,EnergyPhasePINN,,,,,,,
0.9824256896972656,5.060069561004639,6.712672976177777,loco,9,1,284,420.0,E3|EnergyPhasePINN|loco|9|1,E3,EnergyPhasePINN,,,,,,,
0.9587072134017944,7.777248382568359,10.289475510171258,loco,9,2,284,35.0,E3|EnergyPhasePINN|loco|9|2,E3,EnergyPhasePINN,,,,,,,
0.9534364342689514,8.53679370880127,10.926452637912048,loco,9,3,284,36.0,E3|EnergyPhasePINN|loco|9|3,E3,EnergyPhasePINN,,,,,,,
0.9852520227432251,4.671929359436035,6.149256417827077,loco,9,4,284,101.0,E3|EnergyPhasePINN|loco|9|4,E3,EnergyPhasePINN,,,,,,,
0.9796460270881653,6.244392395019531,7.716202659195986,loco,10,0,228,125.0,E3|EnergyPhasePINN|loco|10|0,E3,EnergyPhasePINN,,,,,,,
0.9819649457931519,5.369365692138672,7.263358338890548,loco,10,1,228,142.0,E3|EnergyPhasePINN|loco|10|1,E3,EnergyPhasePINN,,,,,,,
0.9683871865272522,7.698008060455322,9.616349333271526,loco,10,2,228,37.0,E3|EnergyPhasePINN|loco|10|2,E3,EnergyPhasePINN,,,,,,,
0.9599514603614807,8.569750785827637,10.82361115671104,loco,10,3,228,35.0,E3|EnergyPhasePINN|loco|10|3,E3,EnergyPhasePINN,,,,,,,
0.9833108186721802,5.3163065910339355,6.987091423741406,loco,10,4,228,101.0,E3|EnergyPhasePINN|loco|10|4,E3,EnergyPhasePINN,,,,,,,
0.9787070155143738,5.495052337646484,6.920630211770903,loco,11,0,469,136.0,E3|EnergyPhasePINN|loco|11|0,E3,EnergyPhasePINN,,,,,,,
0.981788158416748,4.930169582366943,6.400355758315924,loco,11,1,469,141.0,E3|EnergyPhasePINN|loco|11|1,E3,EnergyPhasePINN,,,,,,,
0.9556758403778076,8.267480850219727,9.984994310922774,loco,11,2,469,39.0,E3|EnergyPhasePINN|loco|11|2,E3,EnergyPhasePINN,,,,,,,
0.9453068971633911,8.794978141784668,11.091589316985198,loco,11,3,469,36.0,E3|EnergyPhasePINN|loco|11|3,E3,EnergyPhasePINN,,,,,,,
0.9789169430732727,5.463020324707031,6.8864271044846515,loco,11,4,469,101.0,E3|EnergyPhasePINN|loco|11|4,E3,EnergyPhasePINN,,,,,,,
0.9738121628761292,5.547642707824707,7.272516997505328,loco,12,0,456,134.0,E3|EnergyPhasePINN|loco|12|0,E3,EnergyPhasePINN,,,,,,,
0.9734989404678345,5.62982177734375,7.315878584816279,loco,12,1,456,63.0,E3|EnergyPhasePINN|loco|12|1,E3,EnergyPhasePINN,,,,,,,
0.9539055228233337,7.941336631774902,9.648488502522081,loco,12,2,456,36.0,E3|EnergyPhasePINN|loco|12|2,E3,EnergyPhasePINN,,,,,,,
0.9379370808601379,9.061225891113281,11.195690715654212,loco,12,3,456,35.0,E3|EnergyPhasePINN|loco|12|3,E3,EnergyPhasePINN,,,,,,,
0.9735074639320374,5.57227087020874,7.314701107695507,loco,12,4,456,101.0,E3|EnergyPhasePINN|loco|12|4,E3,EnergyPhasePINN,,,,,,,
0.9733849763870239,5.56146764755249,7.074703239983843,loco,13,0,463,112.0,E3|EnergyPhasePINN|loco|13|0,E3,EnergyPhasePINN,,,,,,,
